signal_1,signal
0.9661843801803932-0.0000000000000026738812437467944i,0.00000003730373876241887+0.00000000000029065095449240844i
0.8954960909944542+0.0000000000000007827579811923353i,0.000000017213463525286253-0.000000000001459762988584394i
0.9612311615341057-0.000000000000002304400830966394i,0.000000008986498164751617+0.000000000000002494325012227624i
0.9594093412672671+0.00000000000000032569947567557643i,0.0000000042659989952699195+0.000000000000009599598417491567i
0.9574871998979758-0.0000000000000007699416477287081i,0.000000001991870840958252-0.00000000000006514888291738092i
0.9641861031828539+0.000000000000002242996104368283i,0.0000000009313883370964967-0.0000000000001117753615501562i
0.888878390760363+0.0000000000000005058000049793458i,0.0000000003952680681447869-0.00000000000002319605036136838i
0.967326143134706-0.0000000000000038752408860425295i,0.0000000001912046270641012+0.00000000000002039488119224312i
0.8983752874447247-0.0000000000000005194852047406981i,0.00000000007920610011653323+0.000000000000010722140332021718i
0.9602831013359278+0.00000000000000010275386819374963i,0.00000000003647253563389257-0.0000000000000005676213185836068i
0.9719096297337488-0.00000000000000021228224362266413i,0.00000000001559390134410759-0.00000000000000274316345131999i
0.9620342482772535+0.0000000000000023143103363821457i,0.000000000006513379119655529-0.0000000000000008870132211177816i
0.9541889816173528+0.00000000000000014509402022585078i,0.0000000000026960187795416935+0.000000000000000014894801442056i
0.8903460223827913+0.0000000000000021732382438214214i,0.0000000000010196767550474445-0.00000000000000003924954033830814i
0.9705092696496903+0.0000000000000014201540400107509i,0.00000000000043119891371306163-0.00000000000000006474587576302429i
0.8950750743223036-0.000000000000002400895905635615i,0.00000000000015726525418203586-0.00000000000000001711555002492208i
0.9550389326911431+0.000000000000001188872114285403i,0.00000000000006404427937407925+0.0000000000000000008846994251958352i
0.9680039899459111-0.0000000000000001210707684123856i,0.000000000000023854653807550688+0.00000000000000000032163628830372145i
0.9770200569685962+0.0000000000000012016321555278349i,0.000000000000008684025168123262-0.0000000000000000010155928897329824i
0.9672044537381224+0.00000000000000037379716911038494i,0.0000000000000030765426431353924-0.0000000000000000003180976915341468i
0.8781553128829307-0.00000000000000010832687580057783i,0.0000000000000009832515044977812+0.00000000000000000003968507603338942i
0.9570483872475359-0.00000000000000043194572555062775i,0.00000000000000035533361373880206+0.000000000000000000048975697085832886i
0.8886505087693947-0.0000000000000026266295801051358i,0.00000000000000010976055285385097+0.0000000000000000000016533241375737703i
0.9590897059302791-0.000000000000000466184528030332i,0.00000000000000003745406690774158-0.00000000000000000000257016891918559i
0.9643911765694407+0.0000000000000017280555488165378i,0.000000000000000011528119042865371-0.00000000000000000000011245859094024585i
0.9570799131737836-0.000000000000002698239139847178i,0.000000000000000003483958199758616+0.0000000000000000000005016657674246504i
0.960237827288897+0.000000000000000908315895886404i,0.0000000000000000010368367323941741+0.00000000000000000000017305688931756257i
0.9003782897112992+0.0000000000000005661356555112472i,0.0000000000000000002792937369792971+0.0000000000000000000000004668174924439293i
0.9716974189962955+0.0000000000000011942778845053814i,0.00000000000000000008164273507382143-0.000000000000000000000015684261973060023i
0.8964529662795079+0.0000000000000008762900729444414i,0.000000000000000000020906741471804827-0.000000000000000000000004504292843568533i
0.9392154883697292-0.00000000000000182850559130544i,0.0000000000000000000058159745350576665-0.00000000000000000000000071576294341234575i
0.9574961604754177-0.0000000000000007009191207154891i,0.0000000000000000000014937181934898194-0.00000000000000000000000015644088028464062i
0.9772137416613678+0.0000000000000010896955584411006i,0.00000000000000000000038048416317130536-0.00000000000000000000000003494155676192833i
0.9766812620845456+0.0000000000000008361859047616709i,0.00000000000000000000009400189721613645+0.0000000000000000000000000019620394413012085i
0.9154897577936864-0.0000000000000020141484724836896i,0.000000000000000000000021485251693305457+0.0000000000000000000000000034749985285625165i
0.9642330680954453-0.0000000000000002303381679095401i,0.0000000000000000000000052067273657556016+0.00000000000000000000000000078403329949950625i
0.899712993060364-0.0000000000000004494263178072795i,0.000000000000000000000001135954638856568-0.000000000000000000000000000013662180518418815i
0.9564481325751522+0.0000000000000032285742346125414i,0.00000000000000000000000026779509954126677-0.00000000000000000000000000005050550496555668i
0.9733115314282668+0.0000000000000000957035024164868i,0.00000000000000000000000005829330049542744-0.000000000000000000000000000012554191370434749i
0.9717615564735689+0.0000000000000018849009289941773i,0.000000000000000000000000012542300683215187-0.000000000000000000000000000001787075294152593i
