signal
1+0i
0.8141969518680142+0.000006693537472703416i
0.7431699071833768-0.00001351257341380198i
0.3405143936390689-0.00000003237745524075963i
0.22798884524737908-0.000009098562915648868i
0.4355874197613106-0.000017479322655146294i
0.5010257160284135+0.000023415027500408138i
0.7636259800042484+0.00004694555475978081i
0.667760661628875-0.000025554942591342564i
0.6169376506432565-0.000033734783878469126i
0.46088184153638584+0.000014194407673278666i
0.36063404942042915-0.000005707752394999978i
0.48153002388082383-0.00009893675600089351i
0.27542167726337485-0.000093092260342468i
0.36976108646045114-0.00008362461430799468i
0.4422361107272507-0.00001614406604848239i
0.47942093251526097+0.00000778872370936485i
0.2609418350095531+0.0000009692562114995996i
0.15570195929745298-0.0000017514450824552507i
0.3256321351300041-0.000016248227298896343i
0.24434442322060465-0.00001255342577867661i
0.27767831037708957-0.00003955180603310484i
0.18523169497258604-0.00004505457367978062i
0.14900098713936288-0.000042892118890376705i
0.12158501235704033-0.000011003476503326454i
0.06478250168209916+0.00000044679202667036166i
0.1056558396052104-0.0000016188248914088544i
0.05477503248260756-0.0000008407327074962377i
0.07138347990998639+0.0000015751487813762537i
0.062396480075874304-0.0000009334275609454133i
0.03860633889384704-0.000005605602587066806i
0.022297335457191987-0.000004218702204397679i
0.009496705797013894-0.0000018816478561887792i
0.01753432209043919-0.000001380625993047962i
0.008085116228313741-0.00000037396566125810835i
0.008923048951155206-0.0000015444166095193358i
0.006290532799830509-0.0000018419064841519367i
0.0048553618056059325-0.0000009034081483247445i
0.0032192252308183176-0.000000017116577538527022i
0.0010954497995570133-0.00000004275350669771367i
0.0016317491141724808-0.0000002252023347776582i
0.0006346357319514951-0.00000007782274865499334i
0.0008871862031396305-0.00000007030779318684795i
0.0005995690885766426-0.00000006689678728671049i
0.0003003476067194398-0.000000041479482083431003i
0.00016476875266801207-0.000000020343604715049395i
0.0000584802279660981-0.0000000036827404548749767i
0.00011656107428598537-0.000000001991414540379681i
0.00004062448045246862+0.0000000009960789347859706i
0.000037134700913023037+0.0000000007515707171871759i
0.0000226273287065597+0.0000000006906969016153014i
0.000012957917568713433+0.00000000020939921784690406i
0.00000751033431571035-0.00000000010505520264592856i
0.0000017490824882573785-0.00000000013211357207212595i
0.0000021018696789291368-0.000000000053162529425730384i
0.0000006202416995026938-0.000000000015261814442755878i
0.0000007845035073141156-0.00000000005386551789778135i
0.0000004731722776918824-0.00000000003258963726980071i
0.00000021870566972222946+0.0000000000071907759428576705i
0.00000009123852012538174+0.00000000001418136876046012i
0.00000001937401998962663+0.000000000002103817892895828i
0.000000027195256555138315+0.0000000000002118910197357639i
0.000000006542983753158601-0.0000000000005548683159204633i
0.000000006253291613979117+0.0000000000000017356861461298724i
0.00000000290649354322966+0.0000000000000065403603940900114i
0.0000000013436045607353996-0.00000000000004394578927945286i
0.0000000006667864844828994-0.00000000000008002065024256306i
0.00000000013425586230552799-0.00000000000000787871825264092i
0.00000000013704242308762648+0.00000000000001461765846819786i
0.000000000029000273221591914+0.0000000000000039257708520493854i
0.000000000025456629057734642-0.0000000000000003961809922866258i
0.000000000012075439664437894-0.0000000000000021242217721321093i
0.000000000004550485030628697-0.00000000000000061969989924885i
0.0000000000017329169890073399+0.000000000000000009573914941373183i
0.0000000000003474993153396715-0.000000000000000013375992261642621i
0.00000000000032925198041269745-0.000000000000000049438222451536566i
0.0000000000000575813410477786-0.0000000000000000062667137033398456i
0.000000000000041202313316481204+0.0000000000000000005691634491256066i
0.00000000000001727282949971694+0.0000000000000000002328924498550453i
0.000000000000006930292282062721-0.0000000000000000008104946068721962i
0.0000000000000023033414392185475-0.00000000000000000023815291372651675i
0.00000000000000031316079076660453+0.000000000000000000012639502439141035i
0.0000000000000002343539936346239+0.000000000000000000032301053879928364i
0.000000000000000037400730080661095+0.0000000000000000000005633675131389309i
0.000000000000000025319440726527058-0.0000000000000000000017374679170410482i
0.00000000000000000828296443363185-0.00000000000000000000008080160376896914i
0.000000000000000002340925016282213+0.00000000000000000000033707693294389324i
0.0000000000000000007063449017738554+0.00000000000000000000011789498546250798i
0.00000000000000000010837646463500735+0.00000000000000000000000018114272968637268i
0.00000000000000000006395864168828701-0.000000000000000000000012286997620487026i
0.000000000000000000007773221934489337-0.0000000000000000000000016747166446277634i
0.000000000000000000003258074546279851-0.00000000000000000000000040096616883524554i
0.0000000000000000000009845456615949474-0.00000000000000000000000010311395460862559i
0.0000000000000000000003030293796455826-0.000000000000000000000000027828538721942547i
0.00000000000000000000007647532683554011+0.0000000000000000000000000015962189277819713i
0.000000000000000000000009427709349455538+0.0000000000000000000000000015248262659711989i
0.00000000000000000000000364053789893003+0.0000000000000000000000000005481951982793356i
0.0000000000000000000000004250260065107624-0.000000000000000000000000000005111808017179543i
0.00000000000000000000000017608739597895875-0.00000000000000000000000000003320965494094864i
0.000000000000000000000000045276471594498436-0.000000000000000000000000000009750854457438412i
0.000000000000000000000000009456866961859574-0.0000000000000000000000000000013474508171779044i
