signal
1+0i
0.9791588405791507+0.000008049695331341787i
0.9707612454420577-0.000017650656675577212i
0.9003355180010408-0.0000000851791702224301i
0.8635094057591193-0.000034459625669672325i
0.9184202911325432-0.00003685237476420099i
0.9196613838544885+0.00004298157291627386i
0.9436520830989448+0.000058013955455133585i
0.9152038718445585-0.00003502438418865268i
0.887963393664528-0.00004855474943146075i
0.8420471425032923+0.00002593371985175754i
0.7967803682172767-0.000012609546159625913i
0.7898616600027605-0.0001622825429107956i
0.7157151073037469-0.0002419009556906704i
0.6985728787377395-0.00015797558020459474i
0.666066820519132-0.00002430582433318796i
0.6241777103947548+0.000010144021655410527i
0.5398850200661539+0.000002005752164433379i
0.4687042420504141-0.000005272307739165958i
0.4543020592218087-0.00002266852731405467i
0.39330141047981215-0.000020205162813464625i
0.3515772531480484-0.00005007242425305303i
0.29469671132454633-0.00007166978088122862i
0.24854772490819096-0.0000715366899990421i
0.2077152764122902-0.000018790849739549617i
0.16418148435323995+0.0000011347449879684184i
0.14396774582961838-0.000002205585311793203i
0.11157048546868553-0.000001712458215064267i
0.09316701948993583+0.00000205583667034993i
0.07418478366750739-0.0000011095909735350117i
0.05657805364559392-0.000008213838909318854i
0.042824725517203406-0.000008100065047771311i
0.03093074331950946-0.000006126050779738332i
0.025337891224285862-0.0000019934298674244968i
0.01801228291281937-0.0000008326464482092516i
0.013874489962608667-0.000002401382613348337i
0.010100565511681927-0.000002957498604908251i
0.007319098928061079-0.0000013618087714133718i
0.005156082489800494-0.000000027410840635357685i
0.0033823672961789757-0.00000013193182743625805i
0.0025407260134504453-0.0000003504662637883236i
0.001653903488382767-0.00000020262612893394143i
0.0011974159584403963-0.00000009477883373273948i
0.0007939239588552062-0.00000008854983803882449i
0.0005088723352218506-0.00000007027608034503166i
0.000327554105462483-0.00000004044132098929101i
0.0001972781435081805-0.000000012421973304522402i
0.00013728834234604513-0.0000000023455075726326225i
0.0000805102269564107+0.0000000019753501448555887i
0.000051252660213951654+0.0000000010412663718609078i
0.00003093278017644767+0.0000000009483786235013753i
0.000018103976570711825+0.00000000029476510458311955i
0.000010509137015924689-0.00000000014645406628652185i
0.000005511152599620362-0.0000000004162570874571275i
0.0000033244329248237238-0.0000000000840572052343678i
0.0000017346549995876958-0.0000000000426466427289952i
0.0000010168286882932064-0.00000000006981100371246319i
0.0000005455872083557058-0.00000000003757376343344906i
0.00000028453328800224896+0.00000000000937423283623625i
0.00000014554925993939436+0.000000000022643607729725728i
0.00000006786383501718019+0.000000000007378756996372514i
0.00000003700671482341743+0.00000000000029056512351222404i
0.00000001706762845121967-0.000000000001447357802985846i
0.000000008905574246288513+0.0000000000000026376013616765916i
0.000000004225208155533745+0.000000000000009711448922736076i
0.000000001971666767913429-0.00000000000006443474724064837i
0.000000000921376147560539-0.00000000000011057356990464112i
0.00000000039076933994814083-0.00000000000002291401684567709i
0.00000000018890278533870835+0.000000000000020174256804847646i
0.00000000007819845755573664+0.00000000000001059701583724376i
0.00000000003598265292034025-0.0000000000000005577251999845919i
0.00000000001537295944965187-0.000000000000002704276955734024i
0.0000000000064161134594602144-0.0000000000000008735355866354735i
0.0000000000026536192637842885+0.000000000000000014908358796522645i
0.0000000000010028011562841277-0.000000000000000038528321131964975i
0.00000000000042369463909914983-0.00000000000000006361533664570441i
0.00000000000015438940860099649-0.000000000000000016799205311213646i
0.00000000000006281462334957188+0.0000000000000000008744557616808804i
0.000000000000023374112393178026+0.0000000000000000003183509667181039i
0.000000000000008500612400485025-0.0000000000000000009936231451801337i
0.0000000000000030084625535154816-0.00000000000000000031105404096289576i
0.0000000000000009604705385317584+0.000000000000000000038825440986402474i
0.0000000000000003467194487379218+0.000000000000000000047843943215677327i
0.00000000000000010697808192535635+0.000000000000000000001627202230107856i
0.00000000000000003646179384029478-0.0000000000000000000025004704786771614i
0.000000000000000011209134755750034-0.00000000000000000000010928836216984557i
0.0000000000000000033833362047329445+0.0000000000000000000004874294801668887i
0.0000000000000000010055986209030794+0.00000000000000000000016796251816609492i
0.00000000000000000027052075335657865+0.0000000000000000000000004672131748320168i
0.00000000000000000007897052278460494-0.000000000000000000000015170588234088492i
0.00000000000000000002019411761312059-0.000000000000000000000004348796147242316i
0.000000000000000000005609634803974953-0.0000000000000000000000006889716244816276i
0.0000000000000000000014385867602098867-0.0000000000000000000000001502922734506294i
0.00000000000000000000036588173085972466-0.00000000000000000000000003355796472708275i
0.00000000000000000000009025250084361836+0.0000000000000000000000000018845696278142604i
0.000000000000000000000020595073633107778+0.000000000000000000000000003331901340076168i
0.0000000000000000000000049827513870031326+0.0000000000000000000000000007507825606751752i
0.0000000000000000000000010852440735758922-0.0000000000000000000000000000129990949532441i
0.00000000000000000000000025539458787534727-0.00000000000000000000000000004816433552473123i
0.00000000000000000000000005549465271375-0.00000000000000000000000000001194375182178494i
0.000000000000000000000000011918277793304663-0.00000000000000000000000000000169391316449746i
